Updated On,State,Total Individuals Vaccinated,Total Sessions Conducted,Total Sites ,First Dose Administered,Second Dose Administered,Male(Individuals Vaccinated),Female(Individuals Vaccinated),Total Covaxin Administered,Total CoviShield Administered,18-45 years (Age),45-60 years (Age),60+ years (Age),Total Doses Administered
14-03-2021,Chandigarh,40701,700,5,34965,5736,26987,13714,0,40696,,,,40701
15-03-2021,Chandigarh,43221,7000,49,36848,6373,28570,14651,0,43216,,,,43221
16-03-2021,Chandigarh,42234,7000,49,42234,6945,27417,14817,0,49179,13462,13318,15449,49179
17-03-2021,Chandigarh,50040,7300,49,50040,7409,31679,18360,0,57449,13705,14342,21988,57449
18-03-2021,Chandigarh,51658,6800,47,51658,7862,32583,19074,0,59520,13971,14648,23034,59520
19-03-2021,Chandigarh,53379,7100,50,53379,8263,33496,19882,0,61642,14204,15017,24153,61642
20-03-2021,Chandigarh,54986,6700,46,54986,8659,34335,20650,0,63645,14453,15378,25149,63645
21-03-2021,Chandigarh,55144,1700,11,55144,8664,34418,20725,0,63808,14471,15420,25247,63808
22-03-2021,Chandigarh,56588,6900,48,56588,9158,35201,21386,0,65746,14665,15739,26178,65746
23-03-2021,Chandigarh,57782,7200,50,57782,9610,35877,21904,0,67392,14866,16046,26864,67392
24-03-2021,Chandigarh,58992,7100,50,58992,9967,36577,22414,0,68959,15048,16286,27652,68959
25-03-2021,Chandigarh,60519,7400,52,60519,10308,37415,23103,0,70827,15377,16608,28527,70827
26-03-2021,Chandigarh,61839,7100,50,61839,10719,38164,23674,0,72558,15612,16929,29291,72558
27-03-2021,Chandigarh,63168,6700,46,63168,10983,38829,24338,0,74151,15806,17222,30133,74151
28-03-2021,Chandigarh,63269,1700,9,63269,10988,38883,24385,0,74257,15818,17257,30187,74257
29-03-2021,Chandigarh,63294,2400,11,63294,10990,38893,24400,0,74284,15817,17266,30204,74284
30-03-2021,Chandigarh,64574,8300,51,64574,11435,39599,24974,0,76009,15962,17528,31077,76009
31-03-2021,Chandigarh,65748,7200,49,65748,11963,40264,25483,0,77711,16118,17720,31903,77711
01-04-2021,Chandigarh,68591,7450,52,68591,12464,41784,26806,0,81055,16295,19741,32548,81055
02-04-2021,Chandigarh,71565,7300,50,71565,12813,43392,28172,0,84378,16428,21779,33351,84378
03-04-2021,Chandigarh,74528,7100,50,74528,13309,45010,29517,0,87837,16659,23828,34034,87837
04-04-2021,Chandigarh,77241,6550,44,77241,13602,46562,30678,0,90843,16774,25763,34697,90843
05-04-2021,Chandigarh,80058,7450,53,80058,14182,48139,31918,0,94240,16833,27664,35554,94240
06-04-2021,Chandigarh,81444,7650,55,81444,14567,48949,32494,0,96011,16869,28578,35990,96011
07-04-2021,Chandigarh,85979,7650,54,85979,15553,51487,34490,0,101532,17006,31697,37269,101532
08-04-2021,Chandigarh,89382,7650,55,89382,16433,53305,36075,0,105815,17106,33961,38308,105815
09-04-2021,Chandigarh,92814,7650,55,92814,17335,55177,37635,0,110149,17357,36239,39211,110149
10-04-2021,Chandigarh,96744,7650,55,96744,18264,57313,39428,0,115008,17599,39012,40126,115008
11-04-2021,Chandigarh,99484,7200,50,99484,18671,58812,40669,0,118155,17668,40946,40863,118155
12-04-2021,Chandigarh,103131,8200,61,103131,19810,61010,42118,0,122941,18086,43229,41809,122941
13-04-2021,Chandigarh,106139,8400,62,106139,20711,62884,43252,0,126850,18434,45207,42491,126850
14-04-2021,Chandigarh,108803,8400,63,108803,21577,64430,44370,0,130380,18591,46972,43233,130380
15-04-2021,Chandigarh,111665,8800,63,111665,22898,66127,45535,0,134563,18805,48843,44010,134563
16-04-2021,Chandigarh,114800,8700,63,114800,24346,68061,46736,0,139146,19046,50871,44876,139146
17-04-2021,Chandigarh,117734,7400,56,117734,25520,69799,47931,0,143254,19271,52915,45541,143254
18-04-2021,Chandigarh,119500,7200,54,119500,26100,70818,48678,0,145600,19325,54112,46056,145600
19-04-2021,Chandigarh,122192,8500,64,122192,27795,72426,49762,0,149987,19554,55741,46889,149987
20-04-2021,Chandigarh,124937,8600,65,124937,29647,73970,50962,0,154584,19793,57488,47648,154584
21-04-2021,Chandigarh,127635,7900,61,127635,30930,75424,52205,0,158565,19916,59288,48423,158565
22-04-2021,Chandigarh,130884,8800,65,130884,32988,77076,53802,0,163872,20091,61276,49509,163872
23-04-2021,Chandigarh,134397,8800,66,134397,35042,78944,55447,0,169439,20299,63586,50504,169439
24-04-2021,Chandigarh,137994,8300,61,137994,36727,80666,57322,0,174721,20523,65962,51501,174721
25-04-2021,Chandigarh,140795,7000,55,140795,37860,82042,58746,0,178655,20592,67849,52346,178655
26-04-2021,Chandigarh,144305,8400,64,144305,39947,83896,60402,0,184252,20787,70098,53412,184252
27-04-2021,Chandigarh,148026,8400,63,148026,42015,85803,62216,0,190041,25283,68142,54593,190041
28-04-2021,Chandigarh,151928,8750,66,151928,44127,87805,64116,0,196055,25583,70398,55940,196055
29-04-2021,Chandigarh,155689,8600,65,155689,46218,89628,66054,0,201907,25838,72715,57130,201907
30-04-2021,Chandigarh,160071,8700,68,160071,48418,91881,68181,0,208489,26169,75482,58412,208489
01-05-2021,Chandigarh,163599,7800,58,163599,49617,93663,69927,0,213216,26410,77910,59271,213216
02-05-2021,Chandigarh,165617,6600,51,165617,50277,94656,70952,0,215894,26456,79322,59834,215894
03-05-2021,Chandigarh,168672,7200,55,168672,51790,96246,72417,0,220462,26768,81198,60701,220462
04-05-2021,Chandigarh,172057,6900,56,172057,53485,98041,74007,0,225542,27186,83193,61673,225542
05-05-2021,Chandigarh,175618,6900,55,175618,55204,100003,75605,0,230822,27561,85360,62692,230822
06-05-2021,Chandigarh,179429,7000,56,179429,58044,102169,77250,0,237473,28127,87600,63697,237473
07-05-2021,Chandigarh,183067,7300,55,183067,60383,104125,78931,0,243450,28623,89832,64607,243450
08-05-2021,Chandigarh,187445,7100,57,187445,62996,106338,81095,0,250441,29125,92519,65796,250441
09-05-2021,Chandigarh,190204,7400,53,190204,64408,107769,82423,0,254612,29413,94243,66543,254612
10-05-2021,Chandigarh,193540,7800,57,193540,66769,109560,83968,0,260309,29800,96230,67496,260309
11-05-2021,Chandigarh,196808,7900,58,196808,68719,111293,85502,0,265527,30188,98255,68346,265527
12-05-2021,Chandigarh,199576,7900,57,199576,69777,112721,86842,0,269353,30553,99875,69126,269353
13-05-2021,Chandigarh,202829,8000,58,202829,70937,114474,88342,0,273766,31055,101822,69929,273766
14-05-2021,Chandigarh,206572,8100,58,206572,72127,116552,90007,0,278699,32400,103536,70610,278699
15-05-2021,Chandigarh,211162,8300,63,211162,73672,118975,92173,0,284834,33953,105722,71458,284834
16-05-2021,Chandigarh,212260,5290,29,212260,73686,119575,92671,0,285946,34137,106347,71745,285946
17-05-2021,Chandigarh,216622,11040,63,216622,73939,121957,94650,0,290561,36113,108049,72423,290561
18-05-2021,Chandigarh,220312,9670,60,220312,74118,123972,96321,0,294430,37918,109384,72968,294430
19-05-2021,Chandigarh,224068,11320,61,224068,74213,126027,98019,0,298281,40083,110540,73398,298281
20-05-2021,Chandigarh,227748,10665,65,227748,74317,128028,99693,0,302065,42332,111599,73765,302065
21-05-2021,Chandigarh,231985,11470,72,231985,74422,130387,101568,0,306407,45194,112589,74148,306407
22-05-2021,Chandigarh,237720,13510,74,237720,74622,133472,104217,0,312342,49131,113902,74624,312342
23-05-2021,Chandigarh,240804,5705,27,240804,74624,135172,105600,0,315428,51833,114194,74712,315428
24-05-2021,Chandigarh,245841,11811,74,245841,74655,137908,107901,0,320496,55392,115234,75147,320496
25-05-2021,Chandigarh,248749,10780,66,248749,74693,139440,109276,0,323442,57091,116094,75492,323442
26-05-2021,Chandigarh,250185,10320,55,250185,74707,140227,109925,0,324892,57971,116470,75671,324892
27-05-2021,Chandigarh,255083,11710,78,255083,74742,143166,111884,0,329825,61774,117281,75951,329825
28-05-2021,Chandigarh,259802,11803,72,259802,74826,145843,113925,0,334628,65624,117924,76174,334628
29-05-2021,Chandigarh,264747,12392,72,264747,74854,148584,116127,0,339601,69541,118698,76428,339601
30-05-2021,Chandigarh,268609,5830,27,268609,74857,150746,117826,0,343466,73139,118889,76500,343466
31-05-2021,Chandigarh,274606,17087,80,274606,74901,154057,120512,0,349507,78380,119440,76701,349507
01-06-2021,Chandigarh,280378,13795,77,280378,74933,157357,122983,0,355311,83708,119758,76825,355311
02-06-2021,Chandigarh,285834,15120,77,285834,74960,160638,125156,0,360794,88594,120190,76959,360794
03-06-2021,Chandigarh,291718,16560,75,291718,74991,163954,127723,0,366709,93973,120573,77075,366709
04-06-2021,Chandigarh,297146,17075,74,297146,75045,167099,130005,0,372191,98731,121078,77238,372191
05-06-2021,Chandigarh,302775,24455,77,302775,75098,170305,132426,0,377873,103532,121713,77426,377873
06-06-2021,Chandigarh,304833,8840,28,304833,75110,171504,133285,0,379943,105410,121848,77465,379943
07-06-2021,Chandigarh,308126,15320,61,308126,75227,173421,134661,0,383353,107867,122462,77675,383353
08-06-2021,Chandigarh,,,,,,,,,,,,,
16-01-2021,Chhattisgarh,1040,101,98,1040,0,525,515,0,1040,,,,1040
17-01-2021,Chhattisgarh,1040,224,102,1040,0,525,515,0,1040,,,,1040
18-01-2021,Chhattisgarh,1656,224,102,1656,0,726,930,0,1656,,,,1656
19-01-2021,Chhattisgarh,2014,390,106,2014,0,867,1147,0,2014,,,,2014
20-01-2021,Chhattisgarh,3351,542,112,3351,0,1343,2008,0,3351,,,,3351
21-01-2021,Chhattisgarh,5752,590,117,5752,0,2007,3745,0,5752,,,,5752
22-01-2021,Chhattisgarh,5807,680,127,5807,0,2034,3773,0,5807,,,,5807
23-01-2021,Chhattisgarh,12185,803,175,12185,0,3892,8292,0,12185,,,,12185
24-01-2021,Chhattisgarh,12506,881,211,12506,0,4046,8459,0,12506,,,,12506
25-01-2021,Chhattisgarh,24018,1015,227,24018,0,7753,16264,0,24018,,,,24018
26-01-2021,Chhattisgarh,24120,1097,232,24120,0,7791,16328,0,24120,,,,24120
27-01-2021,Chhattisgarh,36363,1307,260,36363,0,11198,25162,0,36363,,,,36363
28-01-2021,Chhattisgarh,46869,1371,268,46869,0,13804,33062,0,46869,,,,46869
29-01-2021,Chhattisgarh,47318,1488,279,47318,0,14020,33295,0,47318,,,,47318
30-01-2021,Chhattisgarh,57446,1520,280,57446,0,16360,41082,0,57446,,,,57446
31-01-2021,Chhattisgarh,57455,1608,281,57455,0,16364,41087,0,57455,,,,57455
01-02-2021,Chhattisgarh,61482,1763,337,61482,0,17621,43857,0,61482,,,,61482
02-02-2021,Chhattisgarh,64509,2057,455,64509,0,18628,45871,0,64509,,,,64509
03-02-2021,Chhattisgarh,86044,2722,665,86044,0,22644,63388,1,86043,,,,86044
04-02-2021,Chhattisgarh,115725,3281,767,115725,0,26864,88849,1,115724,,,,115725
05-02-2021,Chhattisgarh,135072,3885,807,135072,0,29710,105349,1,135071,,,,135072
06-02-2021,Chhattisgarh,153515,4191,822,153515,0,32944,120558,1,153514,,,,153515
07-02-2021,Chhattisgarh,153531,4517,849,153531,0,32947,120571,1,153530,,,,153531
08-02-2021,Chhattisgarh,168873,5026,873,168873,0,37783,131077,6,168867,,,,168873
09-02-2021,Chhattisgarh,182898,5760,912,182898,0,44895,137988,12,182886,,,,182898
10-02-2021,Chhattisgarh,201792,6513,947,201792,0,55370,146405,42,201750,,,,201792
11-02-2021,Chhattisgarh,218958,7095,967,218958,0,66634,152307,55,218903,,,,218958
12-02-2021,Chhattisgarh,234012,7666,975,234012,0,77219,156775,75,233937,,,,234012
13-02-2021,Chhattisgarh,248307,8096,997,248307,862,87409,160880,85,248222,,,,249169
14-02-2021,Chhattisgarh,249309,8397,1037,249309,926,88313,160978,85,249224,,,,250235
15-02-2021,Chhattisgarh,271832,8985,1064,271832,5266,104665,167148,106,271726,,,,277098
16-02-2021,Chhattisgarh,287420,9620,1096,287420,6821,115803,171597,107,287313,,,,294241
17-02-2021,Chhattisgarh,302752,10310,1106,302752,9976,126795,175937,119,302633,,,,312728
18-02-2021,Chhattisgarh,315032,10912,1112,315032,14596,137442,177568,151,314881,,,,329628
19-02-2021,Chhattisgarh,331802,11530,1116,331802,16418,148155,183625,198,331604,,,,348220
20-02-2021,Chhattisgarh,341230,11886,1119,341230,20905,155414,185794,220,341010,,,,362135
21-02-2021,Chhattisgarh,342208,12168,1123,342208,20936,156360,185826,220,341988,,,,363144
22-02-2021,Chhattisgarh,351864,12648,1125,351864,28575,163841,188001,232,351632,,,,380439
23-02-2021,Chhattisgarh,358547,13156,1128,358547,31381,168912,189613,269,358278,,,,389928
24-02-2021,Chhattisgarh,365643,13690,1132,365643,39529,174016,191605,310,365333,,,,405172
25-02-2021,Chhattisgarh,372248,14122,1134,372248,48399,178804,193422,353,371895,,,,420647
26-02-2021,Chhattisgarh,376718,14139,1134,376718,51755,182145,194551,371,376347,,,,428473
27-02-2021,Chhattisgarh,376718,14139,1134,376718,51755,182145,194551,371,376347,,,,428473
28-02-2021,Chhattisgarh,376718,14712,1151,376718,51755,182145,194551,371,376347,,,,428473
01-03-2021,Chhattisgarh,376718,16075,1196,376718,51755,182145,194551,371,376347,,,,428473
02-03-2021,Chhattisgarh,397759,18009,1222,397759,61358,194776,202960,381,397378,,,,459117
03-03-2021,Chhattisgarh,417448,24441,1316,417448,71332,205810,211614,389,417059,,,,488780
04-03-2021,Chhattisgarh,445300,27388,1366,445300,88625,220066,225210,402,444898,,,,533925
05-03-2021,Chhattisgarh,474620,30892,1407,474620,103498,235108,239483,419,474201,,,,578118
06-03-2021,Chhattisgarh,512183,32769,1433,512183,120392,253575,258578,425,511758,,,,632575
07-03-2021,Chhattisgarh,514086,33919,1443,514086,120533,254566,259490,425,513661,,,,634619
08-03-2021,Chhattisgarh,551009,34767,1458,551009,133423,272715,278263,433,550576,,,,684432
09-03-2021,Chhattisgarh,600698,132145,942,456120,144578,295440,305224,0,600691,,,,600698
10-03-2021,Chhattisgarh,649606,149335,1065,489919,159687,318930,330636,0,649599,,,,649606
11-03-2021,Chhattisgarh,654318,54320,414,493373,160945,321650,332628,0,654310,,,,654318
12-03-2021,Chhattisgarh,700964,146525,1048,524628,176336,347129,353792,0,700956,,,,700964
13-03-2021,Chhattisgarh,757035,161710,1202,565547,191488,376539,380449,0,757027,,,,757035
14-03-2021,Chhattisgarh,764290,28560,244,572176,192114,380030,384213,0,764282,,,,764290
15-03-2021,Chhattisgarh,840424,194885,1409,632277,208147,420082,420289,70,840346,,,,840424
16-03-2021,Chhattisgarh,821735,177925,1308,821735,221265,408167,413510,282,1042718,283952,242192,295322,1043000
17-03-2021,Chhattisgarh,920994,212850,1563,920994,234359,457860,463067,530,1154823,288201,265898,366619,1155353
18-03-2021,Chhattisgarh,987493,215765,1572,987493,246163,490214,497208,1001,1232655,291727,281356,414128,1233656
19-03-2021,Chhattisgarh,1043993,196542,1429,1043993,256918,517742,526173,1346,1299565,294892,296345,452469,1300911
20-03-2021,Chhattisgarh,1115002,216225,1578,1115002,267137,551693,563221,1840,1380299,298612,316113,499988,1382139
21-03-2021,Chhattisgarh,1122049,12235,110,1122049,268027,554811,567150,1882,1388194,298931,318713,504116,1390076
22-03-2021,Chhattisgarh,1170273,213520,1571,1170273,275963,578165,592017,2362,1443874,301314,331838,536830,1446236
23-03-2021,Chhattisgarh,1207717,164640,1223,1207717,284304,596645,610976,3090,1488931,304331,344291,558801,1492021
24-03-2021,Chhattisgarh,1246634,187430,1413,1246634,290264,615508,631024,3875,1533023,306726,356882,582732,1536898
25-03-2021,Chhattisgarh,1300439,216670,1613,1300439,296174,641263,659068,4756,1591857,309366,373628,617148,1596613
26-03-2021,Chhattisgarh,1359811,226085,1655,1359811,300457,669178,690519,6409,1653859,311485,392558,655466,1660268
27-03-2021,Chhattisgarh,1468773,256850,1890,1468773,304416,719971,748684,7977,1765212,314614,432183,721667,1773189
28-03-2021,Chhattisgarh,1502883,127925,966,1502883,304877,735162,767601,8415,1799345,315218,443156,744197,1807760
29-03-2021,Chhattisgarh,1503420,53610,392,1503420,305033,735406,767893,8415,1800038,315294,443368,744446,1808453
30-03-2021,Chhattisgarh,1554803,246885,1781,1554803,308829,759383,795288,9005,1854627,316484,462857,775146,1863632
31-03-2021,Chhattisgarh,1662021,301970,2152,1662021,315897,809575,852304,10585,1967333,318846,508143,834704,1977918
01-04-2021,Chhattisgarh,1791743,358130,2613,1791743,321536,872432,919162,12922,2100357,320807,597372,873234,2113279
02-04-2021,Chhattisgarh,2089641,421690,3082,2089641,330898,1013496,1075975,18341,2402198,324580,807892,956835,2420539
03-04-2021,Chhattisgarh,2307001,409720,3135,2307001,338393,1117338,1189471,21138,2624256,327623,960386,1018655,2645394
04-04-2021,Chhattisgarh,2607721,413840,3090,2607721,347234,1257700,1349795,25994,2928961,330028,1178361,1098992,2954955
05-04-2021,Chhattisgarh,2718779,410025,3095,2718779,352752,1309547,1408991,29139,3042392,330130,1260473,1127835,3071531
06-04-2021,Chhattisgarh,2812713,428950,3249,2812713,357866,1353760,1458701,31947,3138632,330295,1329693,1152384,3170579
07-04-2021,Chhattisgarh,3031106,387045,3028,3031106,368310,1457287,1573544,35471,3363945,330433,1492066,1208268,3399416
08-04-2021,Chhattisgarh,3322112,487780,3704,3322112,383446,1594896,1726906,37403,3668155,330693,1707068,1284011,3705558
09-04-2021,Chhattisgarh,3540293,487648,3712,3540293,394865,1698686,1841263,38895,3896263,331631,1867981,1340339,3935158
10-04-2021,Chhattisgarh,3721410,442680,3513,3721410,406399,1786056,1934995,39557,4088252,332570,2001414,1387082,4127809
11-04-2021,Chhattisgarh,3888257,468555,3661,3888257,415407,1867373,2020501,40226,4263438,333413,2125631,1428868,4303664
12-04-2021,Chhattisgarh,4033441,471575,3723,4033441,428925,1939150,2093894,40711,4421655,334763,2233978,1464352,4462366
13-04-2021,Chhattisgarh,4121532,446050,3550,4121532,438207,1984387,2136735,41359,4518380,335796,2298381,1487008,4559739
14-04-2021,Chhattisgarh,4186570,433220,3431,4186570,447792,2018098,2168049,42770,4591592,336585,2346099,1503539,4634362
15-04-2021,Chhattisgarh,4223870,407127,3219,4223870,456357,2038086,2185360,44276,4635951,337421,2373187,1512914,4680227
16-04-2021,Chhattisgarh,4280059,420081,3343,4280059,469555,2068132,2211498,45939,4703675,338400,2413893,1527420,4749614
17-04-2021,Chhattisgarh,4376707,425810,3442,4376707,493467,2118121,2258142,49014,4821160,339881,2484044,1552436,4870174
18-04-2021,Chhattisgarh,4448418,446210,3559,4448418,507994,2154467,2293502,51883,4904529,340820,2535913,1571340,4956412
19-04-2021,Chhattisgarh,4516858,455020,3642,4516858,526335,2189661,2326738,56887,4986306,341943,2584937,1589634,5043193
20-04-2021,Chhattisgarh,4561812,451500,3611,4561812,540894,2212981,2348364,62145,5040561,342942,2616865,1601660,5102706
21-04-2021,Chhattisgarh,4594052,450845,3566,4594052,552491,2229714,2363866,66233,5080310,343632,2639930,1610145,5146543
22-04-2021,Chhattisgarh,4642296,451621,3625,4642296,569830,2254515,2387299,70829,5141297,344613,2674245,1623092,5212126
23-04-2021,Chhattisgarh,4686119,453245,3634,4686119,586615,2276833,2408793,74984,5197750,345839,2705069,1634863,5272734
24-04-2021,Chhattisgarh,4721290,404600,3361,4721290,602920,2294723,2426072,78238,5245972,346760,2729964,1644217,5324210
25-04-2021,Chhattisgarh,4746201,374025,3103,4746201,616146,2307527,2438172,80052,5282295,347460,2747183,1651208,5362347
26-04-2021,Chhattisgarh,4772454,412765,3332,4772454,633844,2321426,2450519,83078,5323220,348688,2764990,1658421,5406298
27-04-2021,Chhattisgarh,4791314,414000,3367,4791314,647227,2331290,2459515,85056,5353485,434095,2693217,1663648,5438541
28-04-2021,Chhattisgarh,4807697,396680,3221,4807697,661920,2340040,2467147,87930,5381687,435273,2703805,1668261,5469617
29-04-2021,Chhattisgarh,4823914,429550,3432,4823914,683596,2348737,2474666,92561,5414949,436628,2714083,1672960,5507510
30-04-2021,Chhattisgarh,4853003,516285,3982,4853003,717906,2364329,2488159,98009,5472900,438686,2732660,1681408,5570909
01-05-2021,Chhattisgarh,4876021,514315,3905,4876021,744361,2376648,2498856,102959,5517423,441793,2746333,1687645,5620382
02-05-2021,Chhattisgarh,4887659,459480,3551,4887659,759328,2382972,2504170,105360,5541627,440332,2756276,1690820,5646987
03-05-2021,Chhattisgarh,4902668,462550,3612,4902668,781790,2391084,2511065,109412,5575046,441974,2765470,1694992,5684458
04-05-2021,Chhattisgarh,4914311,457855,3603,4914311,801201,2397373,2516413,113467,5602045,443559,2772516,1698001,5715512
05-05-2021,Chhattisgarh,4925570,460100,3603,4925570,820659,2403542,2521503,117486,5628743,445061,2779335,1700937,5746229
06-05-2021,Chhattisgarh,4939907,491430,3861,4939907,846941,2411185,2528192,122577,5664271,446544,2788142,1704983,5786848
07-05-2021,Chhattisgarh,4950080,478795,3725,4950080,865589,2416824,2532725,126630,5689039,447894,2794432,1707515,5815669
08-05-2021,Chhattisgarh,4958357,479610,3739,4958357,884299,2421294,2536529,130550,5712106,448959,2799431,1709728,5842656
09-05-2021,Chhattisgarh,4963503,424005,3372,4963503,893647,2423982,2538986,133343,5723807,449461,2802868,1710934,5857150
10-05-2021,Chhattisgarh,4978422,452075,3590,4978422,928384,2431782,2546103,137165,5769641,450667,2812710,1714790,5906806
11-05-2021,Chhattisgarh,4993821,414605,3364,4993821,963082,2439667,2553616,140748,5816155,451783,2823077,1718693,5956903
12-05-2021,Chhattisgarh,5010466,418180,3397,5010466,985738,2448458,2561466,145405,5850799,453153,2833923,1723115,5996204
13-05-2021,Chhattisgarh,5028824,412110,3333,5028824,1017635,2458002,2570270,150202,5896257,454477,2846278,1727786,6046459
14-05-2021,Chhattisgarh,5044873,410366,3302,5044873,1050697,2466024,2578295,153806,5941764,455300,2857447,1731827,6095570
15-05-2021,Chhattisgarh,5058803,463120,3563,5058803,1079462,2473087,2585157,158098,5980167,456050,2867587,1734851,6138265
16-05-2021,Chhattisgarh,5062151,420624,3033,5062151,1080634,2474723,2586869,159995,5982790,456305,2870101,1735428,6142785
17-05-2021,Chhattisgarh,5067225,463175,3222,5067225,1082471,2477188,2589477,162783,5986913,456636,2873970,1736297,6149696
18-05-2021,Chhattisgarh,5072140,443538,3054,5072140,1083685,2479635,2591943,165158,5990667,457008,2877695,1737112,6155825
19-05-2021,Chhattisgarh,5077038,433075,2851,5077038,1085188,2482105,2594371,167555,5994671,457376,2881374,1737962,6162226
20-05-2021,Chhattisgarh,5081726,430116,2937,5081726,1087294,2484412,2596752,169719,5999301,457776,2884773,1738849,6169020
21-05-2021,Chhattisgarh,5086685,412268,2729,5086685,1089093,2486956,2599165,171751,6004027,458330,2888281,1739743,6175778
22-05-2021,Chhattisgarh,5092839,470051,3025,5092839,1090785,2490003,2602271,173918,6009706,458922,2892909,1740673,6183624
23-05-2021,Chhattisgarh,5097092,453244,2977,5097092,1091724,2492070,2604457,175407,6013409,459420,2895979,1741357,6188816
24-05-2021,Chhattisgarh,5102121,412422,2579,5102121,1093569,2494604,2606951,177644,6018046,459927,2899692,1742165,6195690
25-05-2021,Chhattisgarh,5105905,396845,2477,5105905,1095260,2496435,2608903,179938,6021227,460532,2902356,1742679,6201165
26-05-2021,Chhattisgarh,5110865,416251,2508,5110865,1096767,2498921,2611377,181885,6025747,461087,2905958,1743479,6207632
27-05-2021,Chhattisgarh,5113867,363054,2153,5113867,1097984,2500358,2612941,183321,6028530,461634,2907983,1743908,6211851
28-05-2021,Chhattisgarh,5121403,412550,2216,5121403,1099995,2504026,2616807,185599,6035799,462207,2913472,1745381,6221398
29-05-2021,Chhattisgarh,5127168,351338,1944,5127168,1102122,2506872,2619725,187725,6041565,462677,2917704,1746443,6229290
30-05-2021,Chhattisgarh,5130182,328466,1719,5130182,1103284,2508331,2621280,189047,6044419,462917,2919875,1747046,6233466
31-05-2021,Chhattisgarh,5134658,337893,1815,5134658,1105870,2510498,2623589,191336,6049192,463343,2923024,1747945,6240528
01-06-2021,Chhattisgarh,5139437,292455,1393,5139437,1113068,2512844,2626022,195719,6056786,463895,2926331,1748862,6252505
02-06-2021,Chhattisgarh,5143077,299124,1487,5143077,1117047,2514610,2627896,198391,6061733,464246,2928901,1749576,6260124
03-06-2021,Chhattisgarh,5146027,295299,1522,5146027,1121721,2516070,2629385,201339,6066409,464738,2930885,1750049,6267748
04-06-2021,Chhattisgarh,5148601,278190,1448,5148601,1125803,2517333,2630693,203908,6070496,465122,2932593,1750527,6274404
05-06-2021,Chhattisgarh,5151405,287785,1481,5151405,1130679,2518763,2632067,206352,6075732,465488,2934517,1751039,6282084
06-06-2021,Chhattisgarh,5152970,262645,1355,5152970,1132655,2519562,2632832,207896,6077729,465688,2935581,1751340,6285625
07-06-2021,Chhattisgarh,5155182,266426,1417,5155182,1135800,2520678,2633928,210344,6080638,465986,2937058,1751777,6290982
08-06-2021,Chhattisgarh,,,,,,,,,,,,,
16-01-2021,Dadra and Nagar Haveli and Daman and Diu,23,4,2,23,0,13,10,0,23,,,,23
17-01-2021,Dadra and Nagar Haveli and Daman and Diu,23,4,2,23,0,13,10,0,23,,,,23
18-01-2021,Dadra and Nagar Haveli and Daman and Diu,15,6,4,15,0,9,6,0,15,,,,15
19-01-2021,Dadra and Nagar Haveli and Daman and Diu,31,6,4,31,0,15,16,0,31,,,,31
20-01-2021,Dadra and Nagar Haveli and Daman and Diu,31,8,5,31,0,15,16,0,31,,,,31
21-01-2021,Dadra and Nagar Haveli and Daman and Diu,78,10,7,78,0,26,52,0,78,,,,78
22-01-2021,Dadra and Nagar Haveli and Daman and Diu,113,12,9,113,0,45,68,0,113,,,,113
23-01-2021,Dadra and Nagar Haveli and Daman and Diu,280,13,10,280,0,108,172,0,280,,,,280
24-01-2021,Dadra and Nagar Haveli and Daman and Diu,312,13,10,312,0,124,188,0,312,,,,312
25-01-2021,Dadra and Nagar Haveli and Daman and Diu,362,13,10,362,0,142,220,0,362,,,,362
26-01-2021,Dadra and Nagar Haveli and Daman and Diu,362,13,10,362,0,142,220,0,362,,,,362
27-01-2021,Dadra and Nagar Haveli and Daman and Diu,404,22,16,404,0,154,250,0,404,,,,404
28-01-2021,Dadra and Nagar Haveli and Daman and Diu,559,26,18,559,0,245,314,0,559,,,,559
29-01-2021,Dadra and Nagar Haveli and Daman and Diu,706,28,18,706,0,311,395,0,706,,,,706
30-01-2021,Dadra and Nagar Haveli and Daman and Diu,852,29,19,852,0,381,471,0,852,,,,852
31-01-2021,Dadra and Nagar Haveli and Daman and Diu,856,32,19,856,0,385,471,0,856,,,,856
01-02-2021,Dadra and Nagar Haveli and Daman and Diu,1038,35,19,1038,0,476,562,0,1038,,,,1038
02-02-2021,Dadra and Nagar Haveli and Daman and Diu,1181,49,28,1181,0,565,616,0,1181,,,,1181
03-02-2021,Dadra and Nagar Haveli and Daman and Diu,1421,64,35,1421,0,651,770,0,1421,,,,1421
04-02-2021,Dadra and Nagar Haveli and Daman and Diu,1681,77,35,1681,0,746,935,0,1681,,,,1681
05-02-2021,Dadra and Nagar Haveli and Daman and Diu,1931,97,35,1931,0,834,1097,0,1931,,,,1931
06-02-2021,Dadra and Nagar Haveli and Daman and Diu,2255,114,35,2255,0,914,1341,0,2255,,,,2255
07-02-2021,Dadra and Nagar Haveli and Daman and Diu,2255,115,35,2255,0,914,1341,0,2255,,,,2255
08-02-2021,Dadra and Nagar Haveli and Daman and Diu,2329,121,37,2329,0,972,1357,0,2329,,,,2329
09-02-2021,Dadra and Nagar Haveli and Daman and Diu,2567,152,49,2567,0,1160,1407,0,2567,,,,2567
10-02-2021,Dadra and Nagar Haveli and Daman and Diu,3309,176,49,3309,0,1509,1800,0,3309,,,,3309
